,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Barra Dos Coqueiros,BR,-10.9089,-37.0386,80.62,61,20,9.22,few clouds
79,Sicuani,PE,-14.2694,-71.2261,46.72,75,60,2.59,broken clouds
80,Hopewell,US,37.3043,-77.2872,75.11,94,100,3.13,overcast clouds
81,Narsaq,GL,60.9167,-46.05,46.62,64,47,3.24,scattered clouds
82,Lovozero,RU,68.005,35.0117,42.67,74,97,15.12,overcast clouds
83,Castro,BR,-24.7911,-50.0119,65.55,82,80,5.66,broken clouds
84,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,75,8.05,light rain
85,Caravelas,BR,-17.7125,-39.2481,80.13,66,99,9.4,overcast clouds
86,Coquimbo,CL,-29.9533,-71.3436,49.73,71,0,4.61,clear sky
87,Oistins,BB,13.0667,-59.5333,82.98,72,96,16.69,overcast clouds
88,Baiao,BR,-2.7906,-49.6717,81.63,71,42,4.61,scattered clouds
89,Marrakesh,MA,31.6315,-8.0083,87.87,42,0,4.61,clear sky
90,Saint George,US,37.1041,-113.5841,77.54,28,1,3.44,clear sky
91,San Cristobal,VE,7.7669,-72.225,73.58,75,95,3.8,overcast clouds
92,Goderich,CA,43.7501,-81.7165,61.92,88,94,5.75,overcast clouds
93,Camacha,PT,33.0833,-16.3333,76.53,69,20,10.36,few clouds
94,Beyneu,KZ,45.3167,55.2,70.72,13,24,4.99,few clouds
95,Viedma,AR,-40.8135,-62.9967,49.08,81,3,3.31,clear sky
96,Bandar-E Anzali,IR,37.4727,49.4622,68.11,75,100,15.17,overcast clouds
97,Goksun,TR,38.021,36.4973,83.35,17,2,7.05,clear sky
98,Talmenka,RU,53.8183,83.5677,60.24,36,97,13.8,overcast clouds
99,Tazovskiy,RU,67.4667,78.7,48.58,59,48,4.38,scattered clouds
100,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,78,20,16.11,few clouds
101,Moussoro,TD,13.6408,16.4901,90.75,46,80,9.6,broken clouds
102,Buraydah,SA,26.326,43.975,108.05,9,36,12.37,scattered clouds
103,Madinat Sittah Uktubar,EG,29.8167,31.05,92.8,23,0,13.02,clear sky
104,Gafanha Da Encarnacao,PT,40.6181,-8.733,81.05,68,63,8.12,broken clouds
105,Arica,CL,-18.475,-70.3042,59.23,77,90,3.44,overcast clouds
106,Hamilton,US,39.1834,-84.5333,61.09,89,40,0.0,scattered clouds
107,Teguldet,RU,57.3064,88.1667,49.59,60,85,15.3,overcast clouds
108,Puerto Leguizamo,CO,-0.1934,-74.7819,71.51,97,33,1.43,scattered clouds
109,Iqaluit,CA,63.7506,-68.5145,38.93,81,75,14.97,broken clouds
110,Torbay,CA,47.6666,-52.7314,63.88,81,20,5.75,few clouds
111,Vendychany,UA,48.6118,27.7932,72.68,24,2,7.18,clear sky
112,Tessalit,ML,20.1986,1.0114,103.19,16,18,8.37,few clouds
113,Henderson,US,36.0397,-114.9819,86.92,37,1,0.0,clear sky
114,Negombo,LK,7.2083,79.8358,82.0,74,45,9.78,scattered clouds
115,Nanortalik,GL,60.1432,-45.2371,42.67,93,89,14.74,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,4.61,broken clouds
117,Kirovskiy,RU,45.0917,133.5136,60.1,91,31,5.06,scattered clouds
118,Zaidpur,IN,26.8333,81.3333,80.67,74,80,6.26,broken clouds
119,Aripuana,BR,-9.1667,-60.6333,77.95,78,34,2.44,scattered clouds
120,Carpen,RO,44.3333,23.25,75.25,26,83,12.3,broken clouds
121,Trinidad,BO,-14.8333,-64.9,66.18,88,75,13.8,light rain
122,Faya,SA,18.3851,42.4509,84.31,24,77,9.08,broken clouds
123,Marquette,US,46.5333,-87.6335,54.77,87,7,5.01,clear sky
124,Chamrajnagar,IN,11.9167,76.95,82.8,59,88,12.41,overcast clouds
125,Igrim,RU,63.1906,64.4162,54.88,51,57,9.82,broken clouds
126,Goundam,ML,16.4145,-3.6708,98.11,29,92,15.32,overcast clouds
127,Ajdabiya,LY,30.7554,20.2263,82.81,48,0,14.43,clear sky
128,Clyde River,CA,70.4692,-68.5914,32.41,64,90,10.67,overcast clouds
129,Yining,CN,29.0361,114.5636,77.27,74,14,1.79,light rain
130,Marystown,CA,47.1666,-55.1483,63.7,76,3,4.56,clear sky
131,Marzuq,YE,14.4,46.4667,94.05,25,35,9.93,scattered clouds
132,Mehamn,NO,71.0357,27.8492,44.78,74,94,17.56,overcast clouds
133,Niamey,NE,13.5137,2.1098,91.69,46,20,10.36,few clouds
134,Kudahuvadhoo,MV,2.6708,72.8944,82.72,66,58,3.49,broken clouds
135,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,75,5.75,broken clouds
136,Port-Gentil,GA,-0.7193,8.7815,82.36,74,75,13.8,broken clouds
137,Coihaique,CL,-45.5752,-72.0662,43.41,93,75,5.75,light rain
138,Geraldton,AU,-28.7667,114.6,59.41,94,90,10.36,overcast clouds
139,Resistencia,AR,-27.4606,-58.9839,56.05,71,0,13.8,clear sky
140,Sao Filipe,CV,14.8961,-24.4956,79.32,75,18,2.1,few clouds
141,Lodja,CD,-3.4833,23.4333,100.38,27,28,0.92,scattered clouds
142,Jorochito,BO,-18.05,-63.4333,62.33,77,100,8.19,overcast clouds
143,Ribeira Grande,PT,38.5167,-28.7,73.8,88,20,8.05,few clouds
144,Rawson,AR,-43.3002,-65.1023,50.16,78,79,16.55,broken clouds
145,Nouakchott,MR,18.0858,-15.9785,87.73,72,14,18.19,few clouds
146,Kuruman,ZA,-27.4524,23.4325,81.0,17,0,14.58,clear sky
147,Saldanha,ZA,-33.0117,17.9442,89.65,33,67,19.82,broken clouds
148,Lagoa,PT,39.05,-27.9833,71.56,82,100,9.95,overcast clouds
149,Kayerkan,RU,69.3497,87.7602,47.62,98,100,5.21,overcast clouds
150,Beroroha,MG,-21.6667,45.1667,95.47,18,0,2.1,clear sky
151,Bealanana,MG,-14.55,48.7333,78.53,22,11,7.76,few clouds
152,Ponta Do Sol,PT,32.6667,-17.1,80.01,77,66,2.21,broken clouds
153,Gat,IL,31.61,34.7642,97.79,37,0,14.9,clear sky
154,Kindia,GN,10.0569,-12.8658,83.08,74,91,3.06,overcast clouds
155,Svetlograd,RU,45.3353,42.8547,69.78,43,26,13.42,scattered clouds
156,Solaro,IT,44.8799,9.1732,77.72,45,59,7.0,broken clouds
157,Noyabrsk,RU,63.1994,75.4507,52.12,46,80,2.71,broken clouds
158,Grand Gaube,MU,-20.0064,57.6608,74.37,68,52,8.99,light rain
159,Nathdwara,IN,24.9333,73.8167,77.99,79,97,8.72,heavy intensity rain
160,Shostka,UA,51.863,33.4698,73.36,35,19,10.67,few clouds
161,Itupiranga,BR,-5.1347,-49.3267,82.72,64,25,4.25,scattered clouds
162,Aktash,RU,50.3,87.7333,39.88,82,39,8.41,scattered clouds
163,Hawalli,KW,29.2833,47.9972,109.49,30,3,10.0,clear sky
164,Yarada,IN,17.65,83.2667,89.92,66,75,4.61,broken clouds
165,Pisco,PE,-13.7,-76.2167,60.85,82,90,5.75,mist
166,Oytal,KZ,42.9057,73.2697,77.16,34,3,9.19,clear sky
167,San Rafael,AR,-34.6177,-68.3301,46.99,65,32,4.14,scattered clouds
168,Limburg,NL,51.25,6.0,82.51,64,31,3.0,scattered clouds
169,Skjervoy,NO,70.0311,20.9714,44.78,81,100,12.5,light rain
170,Kopavogur,IS,64.1123,-21.913,54.84,71,75,0.0,broken clouds
171,Yar-Sale,RU,66.8333,70.8333,50.14,46,74,10.94,broken clouds
172,Nantucket,US,41.2835,-70.0995,73.74,87,75,12.66,broken clouds
173,Altay,CN,47.8667,88.1167,66.02,48,96,9.17,overcast clouds
174,Kruisfontein,ZA,-34.0033,24.7314,72.88,31,60,17.9,broken clouds
175,Carnarvon,AU,-24.8667,113.6333,69.87,83,0,10.36,clear sky
176,Oktyabrskoye,RU,43.0645,44.7417,62.74,63,75,4.47,broken clouds
177,Pafos,CY,34.7667,32.4167,90.23,55,20,17.27,few clouds
178,Abu Samrah,SY,35.3029,37.1841,93.11,21,0,20.56,clear sky
179,Vangaindrano,MG,-23.35,47.6,76.6,64,0,9.19,clear sky
180,Adrar,MR,20.5022,-10.0711,105.87,7,6,5.88,clear sky
181,Seda,LV,57.65,25.75,68.32,62,60,8.75,broken clouds
182,Necochea,AR,-38.5473,-58.7368,51.04,94,100,23.33,light rain
183,Klaksvik,FO,62.2266,-6.589,52.72,68,30,4.61,scattered clouds
184,Mecca,SA,21.4267,39.8261,110.12,18,24,15.88,few clouds
185,Acarau,BR,-2.8856,-40.12,81.61,65,94,15.79,overcast clouds
186,Pangnirtung,CA,66.1451,-65.7125,39.2,60,40,0.0,scattered clouds
187,Kambove,CD,-10.8764,26.5969,87.53,18,4,6.98,clear sky
188,Matay,EG,28.419,30.7792,100.24,20,0,15.43,clear sky
189,Kodino,RU,63.7198,39.6447,50.68,76,92,8.03,overcast clouds
190,Peniche,PT,39.3558,-9.3811,78.75,76,71,7.58,broken clouds
191,Kavaratti,IN,10.5669,72.642,82.31,79,50,13.56,scattered clouds
192,Axim,GH,4.8699,-2.2405,82.65,72,61,8.66,broken clouds
193,Aden,YE,12.7794,45.0367,89.73,64,31,11.61,scattered clouds
194,Rocha,UY,-34.4833,-54.3333,51.06,94,98,11.74,light rain
195,Melfi,IT,40.9965,15.6514,78.4,28,4,8.77,clear sky
196,Muros,ES,42.7762,-9.0603,70.84,94,99,10.63,overcast clouds
197,Coihueco,CL,-36.6167,-71.8333,41.74,100,75,11.5,mist
198,Virginia Beach,US,36.8529,-75.978,77.22,94,100,1.99,overcast clouds
199,Skegness,GB,53.1436,0.3363,77.63,70,82,9.89,broken clouds
200,Henties Bay,NA,-22.116,14.2845,59.86,64,10,5.08,clear sky
201,Husavik,IS,66.0449,-17.3389,55.31,55,17,3.44,few clouds
202,Chokwe,MZ,-24.5333,32.9833,80.96,42,53,12.37,broken clouds
203,Temyasovo,RU,52.9933,58.1014,57.56,42,100,18.01,overcast clouds
204,Boende,CD,-0.2167,20.8667,97.41,34,86,1.32,overcast clouds
205,Maniitsoq,GL,65.4167,-52.9,38.19,59,22,6.6,few clouds
206,Limon,CR,10.0,-83.0333,75.09,88,0,4.61,clear sky
207,Olafsvik,IS,64.8945,-23.7142,50.92,78,85,11.74,overcast clouds
208,Dzaoudzi,YT,-12.7887,45.2699,82.29,57,0,10.36,clear sky
209,Ampanihy,MG,-24.7,44.75,82.54,33,0,15.93,clear sky
