City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Kibre Mengist,ET,61.52,overcast clouds,5.8833,38.9833,Gunbuur Motel
241,Korla,CN,89.96,clear sky,41.7597,86.1469,Gulisitan Hotel
242,Conceicao Do Araguaia,BR,80.73,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
243,Burdur,TR,83.1,light rain,37.7203,30.2908,Alya Hotel
245,Varenikovskaya,RU,77.32,clear sky,45.1209,37.6417,Apartments on Mira
246,Jacareacanga,BR,80.91,smoke,-6.2222,-57.7528,Casa do Ian😎
248,Leeuwarden,NL,83.98,broken clouds,53.2014,5.8086,Bastion Hotel Leeuwarden
249,Jumla,NP,64.0,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
250,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
252,Porbandar,IN,82.02,light rain,21.6422,69.6093,Lords Inn Porbandar
255,Varnamo,SE,75.76,few clouds,57.186,14.04,Scandic
260,Westerstede,DE,83.12,scattered clouds,53.25,7.9333,Hotel Ammerländer Hof
262,Sainte-Suzanne,RE,77.18,clear sky,-20.9061,55.6089,Gites Ango
263,Halifax,CA,67.89,light intensity drizzle,44.6453,-63.5724,Hotel Halifax
264,Tarquinia,IT,85.19,clear sky,42.2482,11.7553,Hotel Villa Tirreno
265,Roald,NO,64.17,broken clouds,62.5833,6.1333,Flem Cabins
266,Alenquer,BR,84.54,scattered clouds,-1.9417,-54.7383,Josilene Castro
268,Bagula,IN,86.13,broken clouds,23.3167,88.65,রায় ভবন
269,Puerto Baquerizo Moreno,EC,69.73,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
276,Maragogi,BR,78.28,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
277,Dingle,PH,75.33,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
278,Castrovillari,IT,82.29,scattered clouds,39.8203,16.2123,AliaJazzHotel B&b- Locanda di Alia
279,Guadalajara,MX,62.42,broken clouds,20.6667,-103.3333,Hotel Aranzazú
280,Vilhena,BR,73.62,smoke,-12.7406,-60.1458,Hotel Mirage
281,Mananjary,MG,76.66,clear sky,-21.2167,48.3333,Vahiny Lodge
282,Aracaju,BR,80.55,few clouds,-10.9111,-37.0717,HOTEL FÊNIX
283,Monrovia,LR,83.19,light rain,6.3005,-10.7969,Sunset Inn
284,Iralaya,HN,77.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
286,Sayyan,YE,73.18,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
288,Cayenne,GF,87.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
290,Samana,DO,78.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
292,Navsari,IN,84.09,overcast clouds,20.9524,72.9324,Navsari Vibhag Kelavani Trust
293,Srivardhan,IN,80.55,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
295,Mazara Del Vallo,IT,85.95,broken clouds,37.6641,12.588,Vizier Resort & Spa
298,Nieuw Nickerie,SR,80.56,overcast clouds,5.95,-56.9833,Ishwardat Inn
299,Altamira,BR,82.49,broken clouds,-3.2033,-52.2064,Requinte Hotel
300,Terrasini,IT,85.48,clear sky,38.146,13.0844,Florio Park Hotel
302,Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
304,Aksu,CN,89.69,clear sky,41.1231,80.2644,Pudong Holiday Hotel
306,Jacqueville,CI,82.31,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
307,Dzemul,MX,78.06,scattered clouds,21.2,-89.3,Merceria 3 princesas
308,Margate,GB,74.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
310,Abonnema,NG,88.48,light rain,4.7084,6.7931,Corper's Lodge Obonoma
311,Pindiga,NG,86.72,overcast clouds,9.9833,10.9333,Accommodation Center
314,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
315,Maku,IR,76.42,clear sky,39.2911,44.4521,Maku Tourist Hotel
317,Florida,US,81.75,overcast clouds,28.7505,-82.5001,Sportsmens Cove
318,La Motte-Servolex,FR,73.85,clear sky,45.5942,5.8758,ibis budget Chambéry Centre-Ville
319,Kuryk,KZ,67.87,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
320,Jiwani,PK,81.79,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
322,Dzilam Gonzalez,MX,73.9,broken clouds,21.2833,-88.9333,posadas
324,Santa Isabel Do Rio Negro,BR,75.33,overcast clouds,-0.4139,-65.0192,Hotel GSA
326,Vila Verde,PT,74.52,overcast clouds,41.6473,-8.4372,VILALUENA
327,Horta,PT,73.04,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
328,Tulum,MX,80.98,broken clouds,20.2167,-87.4667,Kin Ha Tulum
329,Cobija,BO,78.98,broken clouds,-11.0267,-68.7692,Hotel Obelisco
331,Atasu,KZ,62.71,few clouds,48.6814,71.6433,Dostyk
332,Pauini,BR,76.15,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
333,Pimentel,PE,61.09,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
334,Castel Volturno,IT,87.06,few clouds,41.0149,13.9462,Resort Marina di Castello Golf & SPA
335,Diamantino,BR,79.86,light rain,-14.4086,-56.4461,Hotel Delta
337,Mattru,SL,88.84,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
339,Road Town,VG,85.19,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
343,Kalmunai,LK,84.09,broken clouds,7.4167,81.8167,VS Villa
346,Massaguet,TD,86.04,overcast clouds,12.4755,15.4365,Alwatane
347,Yenagoa,NG,87.75,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
349,Porechye-Rybnoye,RU,64.31,overcast clouds,57.098,39.3835,Debolovskoye
351,Parrita,CR,82.98,overcast clouds,9.5201,-84.3225,Beso del Viento
352,Laguna,US,82.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
353,Murray,US,71.01,smoke,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
355,Ormara,PK,80.55,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
356,Mantua,IT,84.34,clear sky,45.1667,10.7833,Hotel la Favorita
357,Huarmey,PE,61.86,overcast clouds,-10.0681,-78.1522,Hotel Miramar
358,Teterow,DE,77.16,few clouds,53.7833,12.5667,Gästehaus Schiemann
359,Pljevlja,ME,62.06,overcast clouds,43.3333,19.3333,Hotel Franca
361,Pokhara,NP,74.66,broken clouds,28.2333,83.9833,Butterfly Lodge
363,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
364,Kushmurun,KZ,64.31,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
369,Walker,US,71.13,clear sky,30.7335,-95.5669,"Holiday Inn Express & Suites Huntsville, an IHG Hotel"
372,Guatire,VE,81.19,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
374,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
375,Lasa,IT,74.28,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
376,Bocana De Paiwas,NI,71.28,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
377,Trebisov,SK,75.2,clear sky,48.6286,21.7195,Hotel Zemplín
379,Pointe Michel,DM,84.49,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
380,Ushtobe,KZ,73.58,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
382,Uppsala,SE,73.62,clear sky,60.0,17.75,Läderskål
383,Hollins,US,69.35,overcast clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
384,Liepaja,LV,69.78,clear sky,56.5419,21.0367,Promenade Hotel
386,Takoradi,GH,81.19,light rain,4.8845,-1.7554,Raybow International Hotel
389,Saint-Georges,GD,83.07,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
391,Richards Bay,ZA,71.19,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
392,Alta Floresta,BR,74.41,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
394,Doliana,GR,76.12,broken clouds,39.9032,20.5794,19.40 Luxury Guesthouse
396,Kashi,CN,88.81,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
399,Karoi,ZW,84.31,clear sky,-16.8099,29.6925,Chikangwe Guest houses
403,Macara,EC,69.3,scattered clouds,-4.3833,-79.95,Hostal Macará
405,Conceicao Do Mato Dentro,BR,78.75,clear sky,-19.0372,-43.425,Hotel Vista Inn
